split,filename,image_path,plaque_path,xmin,ymin,xmax,ymax,texte_ocr,confiance_ocr,lettres,chiffres,symboles,n_lettres,n_chiffres,n_symboles,longueur,categorie,raison
test,Cars196_png_jpg.rf.d5c3cea3920ed9d895bcb5f2fd240a42.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars196_png_jpg.rf.d5c3cea3920ed9d895bcb5f2fd240a42.jpg,data/processed/plates_cropped\test_12_Cars196_png_jpg.rf.d5c3cea3920ed9d895bcb5f2fd240a42.jpg,104,127,129,139,4I,0.0415,I,4,,1,1,0,2,ILLISIBLE,confiance_trop_faible
test,CarLongPlateGen3760_jpg.rf.48e8c8736b95a8418258e3204cb02d12.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3760_jpg.rf.48e8c8736b95a8418258e3204cb02d12.jpg,data/processed/plates_cropped\test_13_CarLongPlateGen3760_jpg.rf.48e8c8736b95a8418258e3204cb02d12.jpg,266,205,351,237,LL6 L,0.1741,LLL,6, ,3,1,1,5,ILLISIBLE,confiance_trop_faible
test,xemay444_jpg.rf.6c044973ea7f397fee587da6a0522a79.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay444_jpg.rf.6c044973ea7f397fee587da6a0522a79.jpg,data/processed/plates_cropped\test_14_xemay444_jpg.rf.6c044973ea7f397fee587da6a0522a79.jpg,188,181,278,252,9074,0.4853,,9074,,0,4,0,4,DOUTEUSE,aucune_lettre
test,Cars128_png_jpg.rf.548bf2b243ca6ec29020d1278ee7afb3.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars128_png_jpg.rf.548bf2b243ca6ec29020d1278ee7afb3.jpg,data/processed/plates_cropped\test_15_Cars128_png_jpg.rf.548bf2b243ca6ec29020d1278ee7afb3.jpg,111,64,305,172,AND,0.3388,AND,,,3,0,0,3,DOUTEUSE,aucun_chiffre
test,CarLongPlateGen2985_jpg.rf.dd53f6b6681d5e8794cfa02af4aa836b.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen2985_jpg.rf.dd53f6b6681d5e8794cfa02af4aa836b.jpg,data/processed/plates_cropped\test_16_CarLongPlateGen2985_jpg.rf.dd53f6b6681d5e8794cfa02af4aa836b.jpg,176,98,282,173,61F.630.34,0.5281,F,6163034,..,1,7,2,10,CONFORME,format_valide
test,CarLongPlateGen3823_jpg.rf.873a3b50440437ac27996953800c837c.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3823_jpg.rf.873a3b50440437ac27996953800c837c.jpg,data/processed/plates_cropped\test_17_CarLongPlateGen3823_jpg.rf.873a3b50440437ac27996953800c837c.jpg,145,204,219,252,614-052.27,0.7432,,61405227,-.,0,8,2,10,DOUTEUSE,aucune_lettre
test,xemay503_jpg.rf.a6bffd8998b9d21d9d869ccea38c4d48.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay503_jpg.rf.a6bffd8998b9d21d9d869ccea38c4d48.jpg,data/processed/plates_cropped\test_18_xemay503_jpg.rf.a6bffd8998b9d21d9d869ccea38c4d48.jpg,190,143,275,218,008.84,0.5796,,00884,.,0,5,1,6,DOUTEUSE,aucune_lettre
test,CarLongPlateGen1479_jpg.rf.155ff62b70bcfdcad2c3903f01bd9ffc.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1479_jpg.rf.155ff62b70bcfdcad2c3903f01bd9ffc.jpg,data/processed/plates_cropped\test_19_CarLongPlateGen1479_jpg.rf.155ff62b70bcfdcad2c3903f01bd9ffc.jpg,230,182,322,211,4598.81,0.2947,,459881,.,0,6,1,7,DOUTEUSE,aucune_lettre
test,xemay2010_jpg.rf.18b41e17f9ed2af5172a205aa648801d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay2010_jpg.rf.18b41e17f9ed2af5172a205aa648801d.jpg,data/processed/plates_cropped\test_20_xemay2010_jpg.rf.18b41e17f9ed2af5172a205aa648801d.jpg,230,95,266,121,5370,0.4075,,5370,,0,4,0,4,DOUTEUSE,aucune_lettre
test,xemay1853_jpg.rf.f65e3210da28ede6b19d2d15d66142b1.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1853_jpg.rf.f65e3210da28ede6b19d2d15d66142b1.jpg,data/processed/plates_cropped\test_21_xemay1853_jpg.rf.f65e3210da28ede6b19d2d15d66142b1.jpg,184,118,252,163,54-S5,0.5935,S,545,-,1,3,1,5,CONFORME,format_valide
test,CarLongPlateGen1438_jpg.rf.babc91e5214590ed974f8a7d7fe0891e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1438_jpg.rf.babc91e5214590ed974f8a7d7fe0891e.jpg,data/processed/plates_cropped\test_22_CarLongPlateGen1438_jpg.rf.babc91e5214590ed974f8a7d7fe0891e.jpg,203,139,314,182,61051332,0.7398,,61051332,,0,8,0,8,DOUTEUSE,aucune_lettre
test,xemay1087_jpg.rf.ecda06c207aa205f95296920c160a57e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1087_jpg.rf.ecda06c207aa205f95296920c160a57e.jpg,data/processed/plates_cropped\test_23_xemay1087_jpg.rf.ecda06c207aa205f95296920c160a57e.jpg,187,112,276,188,75F1,0.4284,F,751,,1,3,0,4,DOUTEUSE,confiance_moyenne
test,CarLongPlateGen1387_jpg.rf.920673d3abb22543b9cf373c2e86e2bc.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1387_jpg.rf.920673d3abb22543b9cf373c2e86e2bc.jpg,data/processed/plates_cropped\test_24_CarLongPlateGen1387_jpg.rf.920673d3abb22543b9cf373c2e86e2bc.jpg,197,226,296,253,165.98,0.7182,,16598,.,0,5,1,6,DOUTEUSE,aucune_lettre
test,pic_040_jpg.rf.9823c57b23ec49265408e0de643f7503.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\pic_040_jpg.rf.9823c57b23ec49265408e0de643f7503.jpg,data/processed/plates_cropped\test_25_pic_040_jpg.rf.9823c57b23ec49265408e0de643f7503.jpg,224,428,565,576,LFC,0.3159,LFC,,,3,0,0,3,DOUTEUSE,aucun_chiffre
test,xemay1868_jpg.rf.6f6a215202fe885b454086182c1e2a5a.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1868_jpg.rf.6f6a215202fe885b454086182c1e2a5a.jpg,data/processed/plates_cropped\test_26_xemay1868_jpg.rf.6f6a215202fe885b454086182c1e2a5a.jpg,195,186,235,214,6168,0.4773,,6168,,0,4,0,4,DOUTEUSE,aucune_lettre
test,CarLongPlateGen3104_jpg.rf.fda6720607f9d730b4eaad90681ce887.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3104_jpg.rf.fda6720607f9d730b4eaad90681ce887.jpg,data/processed/plates_cropped\test_27_CarLongPlateGen3104_jpg.rf.fda6720607f9d730b4eaad90681ce887.jpg,208,137,303,194,31118,0.4885,,31118,,0,5,0,5,DOUTEUSE,aucune_lettre
test,CarLongPlateGen3827_jpg.rf.e5f0d57803fede4f21bf72caa09bf71f.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3827_jpg.rf.e5f0d57803fede4f21bf72caa09bf71f.jpg,data/processed/plates_cropped\test_28_CarLongPlateGen3827_jpg.rf.e5f0d57803fede4f21bf72caa09bf71f.jpg,147,135,238,187,64 0522,0.4833,,640522, ,0,6,1,7,DOUTEUSE,aucune_lettre
test,CarLongPlateGen2310_jpg.rf.e2e02c43d0fd1aa9eea2f7b85015acdc.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen2310_jpg.rf.e2e02c43d0fd1aa9eea2f7b85015acdc.jpg,data/processed/plates_cropped\test_29_CarLongPlateGen2310_jpg.rf.e2e02c43d0fd1aa9eea2f7b85015acdc.jpg,273,162,379,192,614.897 14,0.3164,,61489714,. ,0,8,2,10,DOUTEUSE,aucune_lettre
test,pic_030_jpg.rf.00b19db8e9be00184b8a01f0b6bb6fe4.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\pic_030_jpg.rf.00b19db8e9be00184b8a01f0b6bb6fe4.jpg,data/processed/plates_cropped\test_30_pic_030_jpg.rf.00b19db8e9be00184b8a01f0b6bb6fe4.jpg,403,178,510,217,CA 530,0.6753,CA,530, ,2,3,1,6,CONFORME,format_valide
test,CarLongPlateGen1447_jpg.rf.d9220a44851fd07098771eec8d7785ff.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1447_jpg.rf.d9220a44851fd07098771eec8d7785ff.jpg,data/processed/plates_cropped\test_31_CarLongPlateGen1447_jpg.rf.d9220a44851fd07098771eec8d7785ff.jpg,155,48,252,76,86A-068L4,0.5893,AL,860684,-,2,6,1,9,CONFORME,format_valide
test,CarLongPlateGen2162_jpg.rf.dc0f368a3e742fd0e4374d2d74965e22.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen2162_jpg.rf.dc0f368a3e742fd0e4374d2d74965e22.jpg,data/processed/plates_cropped\test_32_CarLongPlateGen2162_jpg.rf.dc0f368a3e742fd0e4374d2d74965e22.jpg,302,115,424,159,4155.85,0.6854,,415585,.,0,6,1,7,DOUTEUSE,aucune_lettre
test,CarLongPlate537_jpg.rf.22e3dbafe809516cabb991ed357b8f58.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlate537_jpg.rf.22e3dbafe809516cabb991ed357b8f58.jpg,data/processed/plates_cropped\test_33_CarLongPlate537_jpg.rf.22e3dbafe809516cabb991ed357b8f58.jpg,207,216,310,243,61F.07973,0.3281,F,6107973,.,1,7,1,9,DOUTEUSE,confiance_moyenne
test,xemay1040_jpg.rf.ad77238fd1b902b4ab9189f4958c4f4a.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1040_jpg.rf.ad77238fd1b902b4ab9189f4958c4f4a.jpg,data/processed/plates_cropped\test_34_xemay1040_jpg.rf.ad77238fd1b902b4ab9189f4958c4f4a.jpg,180,107,285,187,5919,0.4128,,5919,,0,4,0,4,DOUTEUSE,aucune_lettre
test,CarLongPlateGen3012_jpg.rf.b5b16bd3219b1eeb18d47cdc31664053.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3012_jpg.rf.b5b16bd3219b1eeb18d47cdc31664053.jpg,data/processed/plates_cropped\test_35_CarLongPlateGen3012_jpg.rf.b5b16bd3219b1eeb18d47cdc31664053.jpg,189,93,303,165,6F.222.61,0.4105,F,622261,..,1,6,2,9,DOUTEUSE,confiance_moyenne
test,xemay2016_jpg.rf.c5067f08891df86dd0f7ea39f7401a19.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay2016_jpg.rf.c5067f08891df86dd0f7ea39f7401a19.jpg,data/processed/plates_cropped\test_36_xemay2016_jpg.rf.c5067f08891df86dd0f7ea39f7401a19.jpg,225,148,264,177,4L69,0.2648,L,469,,1,3,0,4,DOUTEUSE,confiance_moyenne
test,xemay356_jpg.rf.e645c92926daf2d2dd1df946966d2819.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay356_jpg.rf.e645c92926daf2d2dd1df946966d2819.jpg,data/processed/plates_cropped\test_37_xemay356_jpg.rf.e645c92926daf2d2dd1df946966d2819.jpg,177,100,245,158,364.52,0.6405,,36452,.,0,5,1,6,DOUTEUSE,aucune_lettre
test,CarLongPlateGen3780_jpg.rf.e397b23a8b459a228973e302d75a82f3.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3780_jpg.rf.e397b23a8b459a228973e302d75a82f3.jpg,data/processed/plates_cropped\test_38_CarLongPlateGen3780_jpg.rf.e397b23a8b459a228973e302d75a82f3.jpg,229,257,329,281,616205.36,0.7855,,61620536,.,0,8,1,9,DOUTEUSE,aucune_lettre
test,CarLongPlateGen1487_jpg.rf.f3a46a8d94e1b27d219996b909d6f699.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1487_jpg.rf.f3a46a8d94e1b27d219996b909d6f699.jpg,data/processed/plates_cropped\test_39_CarLongPlateGen1487_jpg.rf.f3a46a8d94e1b27d219996b909d6f699.jpg,221,167,316,200,61F06948,0.7504,F,6106948,,1,7,0,8,CONFORME,format_valide
test,Cars351_png_jpg.rf.c29ca17265301c84a77dbde149db6c8d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars351_png_jpg.rf.c29ca17265301c84a77dbde149db6c8d.jpg,data/processed/plates_cropped\test_40_Cars351_png_jpg.rf.c29ca17265301c84a77dbde149db6c8d.jpg,248,47,367,128,TEXAS,0.3001,TEXAS,,,5,0,0,5,DOUTEUSE,aucun_chiffre
test,pic_076_jpg.rf.1e3cd6f8ec1eb3ab1ca29de64b662a86.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\pic_076_jpg.rf.1e3cd6f8ec1eb3ab1ca29de64b662a86.jpg,data/processed/plates_cropped\test_41_pic_076_jpg.rf.1e3cd6f8ec1eb3ab1ca29de64b662a86.jpg,136,81,364,177,EKX6336K,0.3344,EKXK,6336,,4,4,0,8,DOUTEUSE,confiance_moyenne
test,Cars211_png_jpg.rf.541f651f152e9eb820c3c09052c3edee.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars211_png_jpg.rf.541f651f152e9eb820c3c09052c3edee.jpg,data/processed/plates_cropped\test_42_Cars211_png_jpg.rf.541f651f152e9eb820c3c09052c3edee.jpg,27,63,386,234,F 65022,0.8724,F,65022, ,1,5,1,7,CONFORME,format_valide
test,Cars192_png_jpg.rf.82f728f5f03ed5fe425c8af54fb35c05.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars192_png_jpg.rf.82f728f5f03ed5fe425c8af54fb35c05.jpg,data/processed/plates_cropped\test_43_Cars192_png_jpg.rf.82f728f5f03ed5fe425c8af54fb35c05.jpg,107,149,210,172,E4 GLE,0.6826,EGLE,4, ,4,1,1,6,CONFORME,format_valide
test,CarLongPlateGen3768_jpg.rf.8049666cc57d7a53d55cb9db593dfa9c.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3768_jpg.rf.8049666cc57d7a53d55cb9db593dfa9c.jpg,data/processed/plates_cropped\test_44_CarLongPlateGen3768_jpg.rf.8049666cc57d7a53d55cb9db593dfa9c.jpg,146,82,275,129,61F165.85,0.7013,F,6116585,.,1,7,1,9,CONFORME,format_valide
test,Cars227_png_jpg.rf.361738fa68990600986ffa46b68ff6fd.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars227_png_jpg.rf.361738fa68990600986ffa46b68ff6fd.jpg,data/processed/plates_cropped\test_45_Cars227_png_jpg.rf.361738fa68990600986ffa46b68ff6fd.jpg,117,198,152,210,Q K,0.0457,QK,, ,2,0,1,3,ILLISIBLE,confiance_trop_faible
test,CarLongPlateGen30_jpg.rf.7e94f8cc23ba07f9a36e77d7b4f93787.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen30_jpg.rf.7e94f8cc23ba07f9a36e77d7b4f93787.jpg,data/processed/plates_cropped\test_46_CarLongPlateGen30_jpg.rf.7e94f8cc23ba07f9a36e77d7b4f93787.jpg,223,220,264,228,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
test,CarLongPlateGen1561_jpg.rf.617a5657d1c76023c3d88a01c7fa5f34.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1561_jpg.rf.617a5657d1c76023c3d88a01c7fa5f34.jpg,data/processed/plates_cropped\test_47_CarLongPlateGen1561_jpg.rf.617a5657d1c76023c3d88a01c7fa5f34.jpg,240,222,338,251,6I625481,0.5056,I,6625481,,1,7,0,8,CONFORME,format_valide
test,rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,data/processed/plates_cropped\test_48_rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,216,169,263,213,15,0.1825,,15,,0,2,0,2,ILLISIBLE,confiance_trop_faible
test,rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,data/processed/plates_cropped\test_49_rotatequandoi0_jpg.rf.132d8b1db7142986f2c94d396fd32ae6.jpg,143,72,152,80,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
valid,xemay2193_jpg.rf.0fdf4b298cae1f2fa7e59ed38c68ed2d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2193_jpg.rf.0fdf4b298cae1f2fa7e59ed38c68ed2d.jpg,data/processed/plates_cropped\valid_0_xemay2193_jpg.rf.0fdf4b298cae1f2fa7e59ed38c68ed2d.jpg,181,139,216,170,44716,0.3175,,44716,,0,5,0,5,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen2325_jpg.rf.2d68a6b85dcd0a3dc9787925933e5d30.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2325_jpg.rf.2d68a6b85dcd0a3dc9787925933e5d30.jpg,data/processed/plates_cropped\valid_1_CarLongPlateGen2325_jpg.rf.2d68a6b85dcd0a3dc9787925933e5d30.jpg,172,156,287,193,610 51332,0.7158,,61051332, ,0,8,1,9,DOUTEUSE,aucune_lettre
valid,xemay744_jpg.rf.a653a5d23e7d41466a0575ce79d70366.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay744_jpg.rf.a653a5d23e7d41466a0575ce79d70366.jpg,data/processed/plates_cropped\valid_2_xemay744_jpg.rf.a653a5d23e7d41466a0575ce79d70366.jpg,191,43,268,113,285.88,0.5432,,28588,.,0,5,1,6,DOUTEUSE,aucune_lettre
valid,xemay2202_jpg.rf.204536595006348f0414dbd5b1b28099.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2202_jpg.rf.204536595006348f0414dbd5b1b28099.jpg,data/processed/plates_cropped\valid_3_xemay2202_jpg.rf.204536595006348f0414dbd5b1b28099.jpg,278,129,317,153,97PT,0.286,PT,97,,2,2,0,4,DOUTEUSE,confiance_moyenne
valid,xemay2216_jpg.rf.a37579ccc7f74c2eca1d0c9754d734c7.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2216_jpg.rf.a37579ccc7f74c2eca1d0c9754d734c7.jpg,data/processed/plates_cropped\valid_4_xemay2216_jpg.rf.a37579ccc7f74c2eca1d0c9754d734c7.jpg,206,158,238,183,537,0.1607,,537,,0,3,0,3,ILLISIBLE,confiance_trop_faible
valid,xemay672_jpg.rf.6edae72fd30583544ce46f33ddfa420e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay672_jpg.rf.6edae72fd30583544ce46f33ddfa420e.jpg,data/processed/plates_cropped\valid_5_xemay672_jpg.rf.6edae72fd30583544ce46f33ddfa420e.jpg,161,107,255,183,3511,0.3638,,3511,,0,4,0,4,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen168_jpg.rf.29bf532bfdb59655acb84fc2405fa19d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen168_jpg.rf.29bf532bfdb59655acb84fc2405fa19d.jpg,data/processed/plates_cropped\valid_6_CarLongPlateGen168_jpg.rf.29bf532bfdb59655acb84fc2405fa19d.jpg,215,193,263,212,I6.34,0.2884,I,634,.,1,3,1,5,DOUTEUSE,confiance_moyenne
valid,CarLongPlateGen2290_jpg.rf.f737274546f22d258dea1ac91aadf2d7.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2290_jpg.rf.f737274546f22d258dea1ac91aadf2d7.jpg,data/processed/plates_cropped\valid_7_CarLongPlateGen2290_jpg.rf.f737274546f22d258dea1ac91aadf2d7.jpg,252,188,381,225,61G.394 66,0.4785,G,6139466,. ,1,7,2,10,DOUTEUSE,confiance_moyenne
valid,CarLongPlateGen1724_jpg.rf.e8056cf830a995d235f07765c3b5ccfd.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen1724_jpg.rf.e8056cf830a995d235f07765c3b5ccfd.jpg,data/processed/plates_cropped\valid_8_CarLongPlateGen1724_jpg.rf.e8056cf830a995d235f07765c3b5ccfd.jpg,206,196,298,223,6.373.07,0.7684,,637307,..,0,6,2,8,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen2336_jpg.rf.751fae24ceb008d80853cb9613fd5c60.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2336_jpg.rf.751fae24ceb008d80853cb9613fd5c60.jpg,data/processed/plates_cropped\valid_9_CarLongPlateGen2336_jpg.rf.751fae24ceb008d80853cb9613fd5c60.jpg,252,178,382,212,61G 00672,0.5934,G,6100672, ,1,7,1,9,CONFORME,format_valide
valid,boderquandoi19_jpg.rf.ceb6cb21955a4f20cf6b7bd982d8810b.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\boderquandoi19_jpg.rf.ceb6cb21955a4f20cf6b7bd982d8810b.jpg,data/processed/plates_cropped\valid_10_boderquandoi19_jpg.rf.ceb6cb21955a4f20cf6b7bd982d8810b.jpg,220,165,242,173,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
valid,CarLongPlateGen2358_jpg.rf.995fd29482dde0f33f1e94be7514689e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2358_jpg.rf.995fd29482dde0f33f1e94be7514689e.jpg,data/processed/plates_cropped\valid_11_CarLongPlateGen2358_jpg.rf.995fd29482dde0f33f1e94be7514689e.jpg,232,220,356,253,SOLD OLL,0.4047,SOLDOLL,, ,7,0,1,8,DOUTEUSE,aucun_chiffre
valid,CarLongPlateGen316_jpg.rf.2aa2049d1e048bb37f9508bb20d6ae93.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen316_jpg.rf.2aa2049d1e048bb37f9508bb20d6ae93.jpg,data/processed/plates_cropped\valid_12_CarLongPlateGen316_jpg.rf.2aa2049d1e048bb37f9508bb20d6ae93.jpg,225,209,276,225,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
valid,CarLongPlateGen572_jpg.rf.dafba6a29ce54afe570d8a004cca7896.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen572_jpg.rf.dafba6a29ce54afe570d8a004cca7896.jpg,data/processed/plates_cropped\valid_13_CarLongPlateGen572_jpg.rf.dafba6a29ce54afe570d8a004cca7896.jpg,197,150,236,165,W7 81,0.3471,W,781, ,1,3,1,5,DOUTEUSE,confiance_moyenne
valid,CarLongPlateGen2327_jpg.rf.9e99252a3a840fea449ead0a219391f1.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2327_jpg.rf.9e99252a3a840fea449ead0a219391f1.jpg,data/processed/plates_cropped\valid_14_CarLongPlateGen2327_jpg.rf.9e99252a3a840fea449ead0a219391f1.jpg,247,126,365,173,616.51332,0.7522,,61651332,.,0,8,1,9,DOUTEUSE,aucune_lettre
valid,xemay2215_jpg.rf.63572781160d8fbcd13a84b8a59670af.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2215_jpg.rf.63572781160d8fbcd13a84b8a59670af.jpg,data/processed/plates_cropped\valid_15_xemay2215_jpg.rf.63572781160d8fbcd13a84b8a59670af.jpg,270,120,313,148,59973,0.5558,,59973,,0,5,0,5,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen2314_jpg.rf.ef30beadf045eccec19459af7d438705.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2314_jpg.rf.ef30beadf045eccec19459af7d438705.jpg,data/processed/plates_cropped\valid_16_CarLongPlateGen2314_jpg.rf.ef30beadf045eccec19459af7d438705.jpg,195,239,335,277,GOA-038.68,0.8826,GOA,03868,-.,3,5,2,10,CONFORME,format_valide
valid,xemay2175_jpg.rf.f67a41bf991440fab0180fac4e691a67.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2175_jpg.rf.f67a41bf991440fab0180fac4e691a67.jpg,data/processed/plates_cropped\valid_17_xemay2175_jpg.rf.f67a41bf991440fab0180fac4e691a67.jpg,120,99,170,130,6U LZ,0.4306,ULZ,6, ,3,1,1,5,DOUTEUSE,confiance_moyenne
valid,xemay2173_jpg.rf.011e225c8cce8591e362bdf58cb40258.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2173_jpg.rf.011e225c8cce8591e362bdf58cb40258.jpg,data/processed/plates_cropped\valid_18_xemay2173_jpg.rf.011e225c8cce8591e362bdf58cb40258.jpg,219,135,273,174,6273,0.4564,,6273,,0,4,0,4,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen514_jpg.rf.031ff4817ea06bf31b22ac67085f96e7.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen514_jpg.rf.031ff4817ea06bf31b22ac67085f96e7.jpg,data/processed/plates_cropped\valid_19_CarLongPlateGen514_jpg.rf.031ff4817ea06bf31b22ac67085f96e7.jpg,195,229,247,241,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
valid,CarLongPlateGen2339_jpg.rf.ec619087f30bec768bebb5a9e008a0e3.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2339_jpg.rf.ec619087f30bec768bebb5a9e008a0e3.jpg,data/processed/plates_cropped\valid_20_CarLongPlateGen2339_jpg.rf.ec619087f30bec768bebb5a9e008a0e3.jpg,336,242,439,265,614775.29,0.6406,,61477529,.,0,8,1,9,DOUTEUSE,aucune_lettre
valid,CarLongPlateGen2305_jpg.rf.82a07486bf6876e9cc8caaca30f9c536.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\CarLongPlateGen2305_jpg.rf.82a07486bf6876e9cc8caaca30f9c536.jpg,data/processed/plates_cropped\valid_21_CarLongPlateGen2305_jpg.rf.82a07486bf6876e9cc8caaca30f9c536.jpg,214,218,357,263,6116169,0.4522,,6116169,,0,7,0,7,DOUTEUSE,aucune_lettre
valid,xemay2227_jpg.rf.ce29c9c362b05bd75a4be4530cdaf222.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay2227_jpg.rf.ce29c9c362b05bd75a4be4530cdaf222.jpg,data/processed/plates_cropped\valid_22_xemay2227_jpg.rf.ce29c9c362b05bd75a4be4530cdaf222.jpg,227,80,273,130,1650,0.3011,,1650,,0,4,0,4,DOUTEUSE,aucune_lettre
valid,xemay702_jpg.rf.615bcbfcfa8193906b3ddd68902e637a.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\valid\xemay702_jpg.rf.615bcbfcfa8193906b3ddd68902e637a.jpg,data/processed/plates_cropped\valid_23_xemay702_jpg.rf.615bcbfcfa8193906b3ddd68902e637a.jpg,171,167,270,252,11649,0.5404,,11649,,0,5,0,5,DOUTEUSE,aucune_lettre
